opening_strategy,symbol,strike_price,expiration_date,type,quantity,entry_price,exit_price,pnl,cumulative_pnl,collateral,roi,order_created_at
short_put,RIVN,10.5,2024-04-19,put,1.0,0.64,0.49,15.000000000000002,2610.0,1050.0,1.43,2024-04-08 20:09:11.607795+00:00
short_put,SOFI,7.0,2024-05-03,put,1.0,0.36,0.0,36.0,3119.0,700.0,5.14,2024-04-11 17:09:18.195673+00:00
short_put,HUT,7.5,2024-06-07,put,1.0,0.54,0.25,29.000000000000004,986.0,750.0,3.87,2024-05-16 19:02:30.185866+00:00
short_put,HUT,8.5,2024-06-14,put,1.0,0.44,0.41,3.0000000000000027,989.0,850.0,0.35,2024-05-20 18:24:27.403998+00:00
long_call,QQQ,453.0,2024-05-30,call,1.0,5.35,6.35,100.0,4681.0,535.0,18.69,2024-05-22 20:03:27.570754+00:00
long_call,QQQ,452.0,2024-05-30,call,1.0,6.44,8.0,155.99999999999997,4581.0,644.0,24.22,2024-05-23 13:40:43.811620+00:00
short_put,MARA,19.5,2024-05-31,put,1.0,0.27,0.09,18.000000000000004,1148.0,1950.0,0.92,2024-05-30 17:43:02.423783+00:00
short_put,MARA,19.5,2024-06-07,put,1.0,0.54,0.22,32.00000000000001,1180.0,1950.0,1.64,2024-06-04 18:01:42.663831+00:00
short_put,ASTS,8.0,2024-06-07,put,2.0,0.15,0.0,30.0,59.0,1600.0,1.88,2024-06-05 19:02:59.106771+00:00
short_put,MARA,18.0,2024-06-14,put,1.0,0.25,0.07,18.0,1198.0,1800.0,1.0,2024-06-12 13:32:34.377944+00:00
short_put,ASTS,9.0,2024-06-14,put,2.0,0.1,0.0,20.0,79.0,1800.0,1.11,2024-06-12 15:10:03.335527+00:00
short_put,MARA,18.5,2024-06-21,put,1.0,0.38,0.1,28.000000000000004,1226.0,1850.0,1.51,2024-06-18 17:53:38.287076+00:00
short_put,ASTS,10.5,2024-06-21,put,1.0,0.2,0.0,20.0,99.0,1050.0,1.9,2024-06-18 17:55:28.792619+00:00
short_call,ASTS,10.5,2024-06-28,call,1.0,0.5,0.0,50.0,149.0,1050.0,4.76,2024-06-25 14:33:14.157975+00:00
short_put,ASTS,9.5,2024-06-28,put,1.0,0.2,0.0,20.0,169.0,950.0,2.11,2024-06-25 14:35:45.869929+00:00
short_put,RILY,16.5,2024-07-05,put,1.0,0.35,0.0,35.0,2615.0,1650.0,2.12,2024-07-01 16:07:49.412902+00:00
long_call,TQQQ,82.0,2024-07-26,call,1.0,3.05,2.4,-64.99999999999999,4577.0,305.0,-21.31,2024-07-11 15:10:34.192838+00:00
short_call,RILY,16.0,2024-07-12,call,1.0,0.5,2.0,-150.0,2465.0,1600.0,-9.38,2024-07-12 16:19:59.285268+00:00
short_call,RILY,20.0,2024-08-09,call,1.0,1.5,0.7,80.0,2595.0,2000.0,4.0,2024-07-24 19:16:42.767959+00:00
short_call,RILY,18.0,2024-07-26,call,1.0,0.1,0.0,10.0,2475.0,1800.0,0.56,2024-07-24 19:51:52.502458+00:00
short_put,ASTS,17.0,2024-08-09,put,1.0,0.75,0.45,30.0,289.0,1700.0,1.76,2024-07-31 18:22:59.871019+00:00
short_put,ASTS,19.5,2024-08-02,put,1.0,0.6,0.0,60.0,229.0,1950.0,3.08,2024-07-31 18:24:59.276075+00:00
short_put,ASTS,16.0,2024-08-09,put,1.0,0.55,0.25,30.000000000000004,259.0,1600.0,1.88,2024-08-05 15:15:36.593768+00:00
short_put,RILY,15.5,2024-08-09,put,1.0,0.4,0.0,40.0,2515.0,1550.0,2.58,2024-08-06 19:14:30.350507+00:00
short_put,ASTS,16.5,2024-08-16,put,1.0,0.5,0.05,45.0,334.0,1650.0,2.73,2024-08-15 17:31:20.807431+00:00
short_put,NKLA,8.0,2024-08-23,put,1.0,0.29,0.0,28.999999999999996,2272.0,800.0,3.62,2024-08-15 17:46:41.042635+00:00
short_call,NKLA,7.5,2024-08-30,call,1.0,0.2,0.08,12.000000000000002,2284.0,750.0,1.6,2024-08-27 14:50:26.325268+00:00
long_call,NKLA,6.5,2024-08-30,call,1.0,0.07,0.0,-7.000000000000001,4425.0,7.000000000000001,-100.0,2024-08-30 13:55:18.499710+00:00
short_call,NKLA,6.5,2024-09-06,call,2.0,0.12,0.01,22.0,2306.0,1300.0,1.69,2024-09-06 13:33:12.416086+00:00
short_put,RIVN,12.5,2024-09-13,put,1.0,0.17,0.0,17.0,2627.0,1250.0,1.36,2024-09-09 19:44:18.820559+00:00
short_put,ASTS,22.5,2024-11-08,put,1.0,0.8,0.0,80.0,414.0,2250.0,3.56,2024-10-31 17:21:46.913071+00:00
short_put,ASTS,21.5,2024-11-22,put,1.0,0.8,0.25,55.00000000000001,469.0,2150.0,2.56,2024-11-18 15:13:22.478036+00:00
short_put,ASTS,23.0,2024-11-22,put,1.0,0.3,0.0,30.0,499.0,2300.0,1.3,2024-11-20 16:44:05.322326+00:00
short_put,ASTS,22.5,2024-12-13,put,2.0,1.1,0.75,70.00000000000001,569.0,4500.0,1.56,2024-11-25 16:33:33.159889+00:00
short_put,ASTS,22.5,2024-12-20,put,1.0,0.7,0.1,60.0,629.0,2250.0,2.67,2024-12-18 18:31:45.647864+00:00
short_put,ASTS,22.5,2024-12-27,put,1.0,0.8,0.1,70.0,699.0,2250.0,3.11,2024-12-27 15:39:10.570108+00:00
short_put,ASTS,22.5,2025-01-10,put,1.0,1.15,0.0,114.99999999999999,814.0,2250.0,5.11,2024-12-27 15:40:34.585539+00:00
short_put,SOFI,15.0,2025-02-07,put,1.0,0.46,0.3,16.000000000000004,3135.0,1500.0,1.07,2025-01-28 15:01:02.850557+00:00
short_put,HUT,16.5,2025-02-07,put,1.0,0.36,0.15,21.0,1010.0,1650.0,1.27,2025-01-30 14:37:20.647373+00:00
short_put,HUT,19.0,2025-02-07,put,1.0,0.39,0.19,20.0,1030.0,1900.0,1.05,2025-02-03 21:43:38.127842+00:00
short_put,MARA,16.0,2025-02-14,put,1.0,0.35,0.0,35.0,1261.0,1600.0,2.19,2025-02-06 17:13:58.462687+00:00
short_put,MARA,15.0,2025-02-28,put,1.0,0.31,0.0,31.0,1292.0,1500.0,2.07,2025-02-18 16:24:46.395974+00:00
short_put,SOFI,13.5,2025-03-07,put,1.0,0.37,0.27,9.999999999999998,3145.0,1350.0,0.74,2025-02-28 14:49:22.664521+00:00
short_put,SOFI,13.5,2025-03-14,put,1.0,0.28,0.0,28.000000000000004,3173.0,1350.0,2.07,2025-03-03 17:08:10.329675+00:00
short_put,INTC,19.5,2025-03-14,put,1.0,0.32,0.0,32.0,1062.0,1950.0,1.64,2025-03-06 20:54:19.619547+00:00
short_put,RDFN,11.0,2025-03-28,put,1.0,0.2,0.0,20.0,2326.0,1100.0,1.82,2025-03-17 15:26:27.701750+00:00
short_call,SOFI,13.0,2025-03-28,call,1.0,0.22,0.0,22.0,3195.0,1300.0,1.69,2025-03-17 15:29:10.403761+00:00
short_call,RDFN,11.0,2025-04-04,call,1.0,0.2,0.0,20.0,2346.0,1100.0,1.82,2025-04-02 13:56:50.943841+00:00
short_call,SOFI,13.5,2025-04-11,call,1.0,0.15,0.0,15.0,3210.0,1350.0,1.11,2025-04-02 17:17:04.455757+00:00
short_call,RDFN,10.0,2025-04-25,call,1.0,0.2,0.0,20.0,2366.0,1000.0,2.0,2025-04-09 16:36:45.396822+00:00
short_call,SOFI,15.0,2025-05-02,call,1.0,0.08,0.0,8.0,3218.0,1500.0,0.53,2025-04-23 13:30:53.939868+00:00
long_put,SOFI,12.5,2025-05-09,put,1.0,0.65,0.27,-38.0,4643.0,65.0,-58.46,2025-04-29 18:35:43.516817+00:00
short_call,SOFI,13.5,2025-05-09,call,1.0,0.12,0.11,0.9999999999999996,3219.0,1350.0,0.07,2025-05-07 13:48:23.580544+00:00
short_put,RGTI,9.0,2025-05-09,put,1.0,0.18,0.15,3.0,2384.0,900.0,0.33,2025-05-07 13:49:10.151114+00:00
short_call,RDFN,10.0,2025-05-09,call,1.0,0.2,0.05,15.000000000000002,2381.0,1000.0,1.5,2025-05-07 14:28:26.169779+00:00
short_put,RGTI,9.5,2025-05-16,put,1.0,0.21,0.06,15.0,2399.0,950.0,1.58,2025-05-14 13:33:36.523112+00:00
short_put,RGTI,12.5,2025-05-30,put,1.0,0.15,0.0,15.0,2414.0,1250.0,1.2,2025-05-27 18:16:42.305101+00:00
long_call,GOOGL,130.0,2026-03-20,call,1.0,35.0,46.0,1100.0,4432.0,3500.0,31.43,2025-06-04 14:19:04.132652+00:00
short_call,RGTI,12.5,2025-06-06,call,1.0,0.38,0.02,36.0,2450.0,1250.0,2.88,2025-06-05 16:54:26.482364+00:00
short_call,RGTI,12.5,2025-06-13,call,2.0,0.24,0.0,48.0,2498.0,2500.0,1.92,2025-06-06 15:20:32.233596+00:00
short_put,SOFI,13.0,2025-06-13,put,1.0,0.22,0.1,12.0,3231.0,1300.0,0.92,2025-06-06 15:27:11.612903+00:00
short_put,MRNA,25.0,2025-06-13,put,1.0,0.4,0.22,18.000000000000004,1310.0,2500.0,0.72,2025-06-06 15:28:36.566322+00:00
short_put,ACHR,9.0,2025-06-13,put,1.0,0.18,0.04,13.999999999999998,29.0,900.0,1.56,2025-06-09 13:33:07.328128+00:00
short_put,INTC,19.5,2025-06-13,put,1.0,0.2,0.06,14.000000000000002,1076.0,1950.0,0.72,2025-06-09 14:30:30.070416+00:00
short_put,HOOD,68.0,2025-06-13,put,1.0,1.21,0.42,79.0,957.0,6800.0,1.16,2025-06-10 13:35:51.575615+00:00
short_put,HIMS,51.0,2025-06-27,put,1.0,1.79,1.15,64.00000000000001,878.0,5100.0,1.25,2025-06-12 13:58:06.715404+00:00
short_put,INTC,20.0,2025-06-20,put,1.0,0.28,0.08,20.0,1096.0,2000.0,1.0,2025-06-17 14:58:47.165765+00:00
short_put,LUNR,10.0,2025-06-20,put,1.0,0.12,0.0,12.0,1130.0,1000.0,1.2,2025-06-18 13:58:07.393963+00:00
short_call,RGTI,12.5,2025-06-20,call,1.0,0.3,0.04,26.0,2524.0,1250.0,2.08,2025-06-18 17:12:51.192023+00:00
short_put,SMCI,41.5,2025-06-20,put,1.0,0.72,0.09,63.0,2700.0,4150.0,1.52,2025-06-18 17:13:27.476253+00:00
short_put,MP,35.0,2025-06-27,put,1.0,0.8,0.8,0.0,1292.0,3500.0,0.0,2025-06-20 14:37:16.926265+00:00
short_put_spread,SPY,"[590.0, 588.0]",2025-06-20,put,1.0,0.24,0.03,21.0,4764.0,200.0,10.5,2025-06-20 18:34:58.437079+00:00
short_put,MRNA,24.0,2025-06-27,put,1.0,0.34,0.04,30.000000000000004,1340.0,2400.0,1.25,2025-06-24 14:24:17.627578+00:00
short_call,RGTI,12.0,2025-06-27,call,2.0,0.18,0.0,36.0,2560.0,2400.0,1.5,2025-06-24 14:25:04.281502+00:00
short_put,SMCI,41.5,2025-06-27,put,1.0,0.7,0.11,59.0,2759.0,4150.0,1.42,2025-06-25 14:02:37.271175+00:00
short_put_spread,GOOGL,"[160.0, 165.0]",2025-07-18,put,1.0,1.27,0.76,51.0,4657.0,500.0,10.2,2025-06-26 16:27:05.206896+00:00
short_put,MRNA,25.0,2025-07-03,put,1.0,0.28,0.06,22.000000000000004,1362.0,2500.0,0.88,2025-06-26 16:32:30.641854+00:00
short_put_spread,NVDA,"[148.0, 146.0]",2025-07-18,put,1.0,0.43,0.32,10.999999999999998,4743.0,200.0,5.5,2025-07-02 16:12:22.315682+00:00
short_call,RGTI,12.0,2025-07-03,call,1.0,0.16,0.32,-16.0,2544.0,1200.0,-1.33,2025-07-02 16:17:09.123730+00:00
short_put_spread,AMD,"[132.0, 130.0]",2025-07-18,put,1.0,0.54,0.42,12.000000000000005,4606.0,200.0,6.0,2025-07-02 16:21:34.235343+00:00
short_put_spread,TSLA,"[302.5, 305.0]",2025-07-03,put,1.0,0.5,0.32,18.0,4782.0,250.0,7.2,2025-07-02 17:04:26.815283+00:00
short_put,RIVN,13.0,2025-07-03,put,1.0,0.19,0.09,10.0,2637.0,1300.0,0.77,2025-07-02 17:12:03.038442+00:00
short_put_spread,GOOGL,"[170.0, 167.5]",2025-07-18,put,1.0,0.48,0.34,13.999999999999996,4671.0,250.0,5.6,2025-07-02 17:12:48.434165+00:00
short_put,SMCI,47.5,2025-07-03,put,1.0,0.62,0.03,59.0,2818.0,4750.0,1.24,2025-07-03 16:01:32.990182+00:00
short_put,INTC,21.5,2025-07-18,put,1.0,0.33,0.11,22.000000000000004,1118.0,2150.0,1.02,2025-07-09 15:33:16.762095+00:00
short_put,MRNA,29.0,2025-07-18,put,1.0,0.6,0.19,41.0,1403.0,2900.0,1.41,2025-07-09 15:33:49.809976+00:00
short_put,SOFI,17.5,2025-07-18,put,1.0,0.35,0.08,26.999999999999996,3258.0,1750.0,1.54,2025-07-09 15:34:21.789423+00:00
short_put,AAL,11.0,2025-07-18,put,1.0,0.2,0.05,15.000000000000002,15.000000000000002,1100.0,1.36,2025-07-10 17:14:30.932806+00:00
short_put_spread,HOOD,"[88.0, 87.0]",2025-07-18,put,1.0,0.32,0.13,19.0,4690.0,100.0,19.0,2025-07-10 17:15:01.476496+00:00
short_put,SMCI,46.0,2025-07-18,put,1.0,0.7,0.35,35.0,2853.0,4600.0,0.76,2025-07-10 17:56:22.375635+00:00
short_put,NBIS,42.5,2025-07-25,put,1.0,1.05,0.4,65.0,1458.0,4250.0,1.53,2025-07-14 13:36:02.865203+00:00
short_put,SMCI,46.0,2025-07-25,put,1.0,0.89,0.31,58.00000000000001,2911.0,4600.0,1.26,2025-07-15 15:28:35.793804+00:00
short_put,NBIS,48.0,2025-07-25,put,1.0,1.25,0.5,75.0,1533.0,4800.0,1.56,2025-07-17 18:43:19.034033+00:00
short_put,SOFI,20.0,2025-07-25,put,2.0,0.29,0.11,36.0,3294.0,4000.0,0.9,2025-07-17 19:47:16.252401+00:00
short_put,NBIS,50.0,2025-08-01,put,1.0,2.1,0.9,120.00000000000001,1743.0,5000.0,2.4,2025-07-21 14:07:37.656562+00:00
short_put,MRNA,30.5,2025-07-25,put,1.0,0.33,0.14,19.0,1422.0,3050.0,0.62,2025-07-22 19:37:11.926117+00:00
short_put,SMCI,47.5,2025-08-01,put,1.0,0.98,0.35,63.0,2974.0,4750.0,1.33,2025-07-24 16:36:21.343507+00:00
short_put,NBIS,48.5,2025-08-01,put,1.0,1.0,0.45,55.00000000000001,1588.0,4850.0,1.13,2025-07-28 17:44:02.944710+00:00
short_call_spread,AAPL,"[217.5, 220.0]",2025-08-01,call,1.0,0.74,0.57,17.000000000000004,4594.0,250.0,6.8,2025-07-30 18:32:20.119168+00:00
short_put,RGTI,14.5,2025-08-01,put,1.0,0.24,0.08,15.999999999999998,2560.0,1450.0,1.1,2025-07-31 15:00:59.815252+00:00
short_put,RGTI,15.0,2025-08-01,put,1.0,0.36,0.16,20.0,2580.0,1500.0,1.33,2025-07-31 15:01:28.464601+00:00
short_put,NBIS,49.5,2025-08-01,put,1.0,0.45,0.1,35.0,1623.0,4950.0,0.71,2025-07-31 15:53:02.951017+00:00
short_put,NBIS,48.0,2025-08-08,put,1.0,1.3,0.75,55.00000000000001,1798.0,4800.0,1.15,2025-08-04 14:55:46.764741+00:00
short_put,SOFI,20.5,2025-08-15,put,1.0,0.36,0.2,15.999999999999998,3310.0,2050.0,0.78,2025-08-07 15:57:17.482761+00:00
short_put,SMCI,43.0,2025-08-15,put,1.0,1.19,0.44,75.0,3049.0,4300.0,1.74,2025-08-07 15:57:31.662335+00:00
long_put,SOFI,22.0,2025-08-22,put,1.0,0.32,0.31,-1.0000000000000009,4642.0,32.0,-3.13,2025-08-13 17:17:47.348510+00:00
short_put,MRNA,28.0,2025-08-15,put,1.0,0.77,1.46,-69.0,1353.0,2800.0,-2.46,2025-08-13 17:57:23.316854+00:00
short_put,SMCI,42.0,2025-08-22,put,1.0,0.73,0.39,34.0,3083.0,4200.0,0.81,2025-08-13 17:58:14.248136+00:00
short_put,NBIS,66.0,2025-08-22,put,2.0,1.7,0.0,340.0,2138.0,13200.0,2.58,2025-08-13 18:00:03.217276+00:00
short_put_spread,HOOD,"[100.0, 98.0]",2025-08-22,put,2.0,0.35,0.14,41.99999999999999,4732.0,400.0,10.5,2025-08-15 16:30:27.221603+00:00
short_put,SOFI,22.0,2025-08-22,put,1.0,0.31,0.09,22.0,3332.0,2200.0,1.0,2025-08-18 18:01:10.684369+00:00
short_put,NBIS,66.0,2025-08-29,put,1.0,1.05,0.0,105.0,2243.0,6600.0,1.59,2025-08-18 18:03:52.041789+00:00
short_put_spread,META,"[742.5, 745.0]",2025-08-29,put,1.0,0.55,0.55,0.0,4732.0,250.0,0.0,2025-08-18 18:06:12.128713+00:00
short_put,MRNA,26.5,2025-08-29,put,1.0,0.4,0.0,40.0,1393.0,2650.0,1.51,2025-08-18 18:07:24.479911+00:00
short_put_spread,LLY,"[680.0, 677.5]",2025-08-29,put,1.0,0.7,0.7,0.0,4732.0,250.0,0.0,2025-08-18 19:12:11.775878+00:00
