chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
LLY,2025-08-29,680.0000,put,sell,2025-08-18T19:12:11.775878Z,credit,1.00000,limit,short_put_spread,,0.70000000,1.00000
LLY,2025-08-29,677.5000,put,buy,2025-08-18T19:12:11.775878Z,credit,1.00000,limit,short_put_spread,,0.70000000,1.00000
MRNA,2025-08-29,26.5000,put,sell,2025-08-18T18:07:24.479911Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
META,2025-08-29,742.5000,put,buy,2025-08-18T18:06:12.128713Z,credit,1.00000,limit,short_put_spread,,0.55000000,1.00000
META,2025-08-29,745.0000,put,sell,2025-08-18T18:06:12.128713Z,credit,1.00000,limit,short_put_spread,,0.55000000,1.00000
NBIS,2025-08-22,66.0000,put,buy,2025-08-18T18:03:52.041789Z,credit,1.00000,limit,short_put,short_put,1.05000000,1.00000
NBIS,2025-08-29,66.0000,put,sell,2025-08-18T18:03:52.041789Z,credit,1.00000,limit,short_put,short_put,1.05000000,1.00000
SOFI,2025-08-22,22.0000,put,buy,2025-08-18T18:01:10.684369Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
HOOD,2025-08-22,100.0000,put,buy,2025-08-15T16:31:43.706207Z,debit,1.00000,limit,,short_put_spread,0.15000000,1.00000
HOOD,2025-08-22,98.0000,put,sell,2025-08-15T16:31:43.706207Z,debit,1.00000,limit,,short_put_spread,0.15000000,1.00000
HOOD,2025-08-22,100.0000,put,buy,2025-08-15T16:30:27.221603Z,debit,1.00000,limit,,short_put_spread,0.14000000,1.00000
HOOD,2025-08-22,98.0000,put,sell,2025-08-15T16:30:27.221603Z,debit,1.00000,limit,,short_put_spread,0.14000000,1.00000
HOOD,2025-08-22,100.0000,put,sell,2025-08-13T18:01:05.673988Z,credit,2.00000,limit,short_put_spread,,0.35000000,2.00000
HOOD,2025-08-22,98.0000,put,buy,2025-08-13T18:01:05.673988Z,credit,2.00000,limit,short_put_spread,,0.35000000,2.00000
NBIS,2025-08-22,66.0000,put,sell,2025-08-13T18:00:03.217276Z,credit,1.00000,limit,short_put,,1.70000000,1.00000
SMCI,2025-08-22,42.0000,put,buy,2025-08-13T17:58:14.248136Z,debit,1.00000,limit,,short_put,0.39000000,1.00000
MRNA,2025-08-15,28.0000,put,buy,2025-08-13T17:57:23.316854Z,debit,1.00000,limit,,short_put,1.46000000,1.00000
SOFI,2025-08-22,22.0000,put,sell,2025-08-13T17:18:09.937069Z,credit,1.00000,limit,short_put,,0.31000000,1.00000
SOFI,2025-08-22,22.0000,put,sell,2025-08-13T17:17:47.348510Z,credit,1.00000,limit,,long_put,0.31000000,1.00000
SOFI,2025-08-22,22.0000,put,buy,2025-08-13T17:17:11.754143Z,debit,1.00000,limit,long_put,,0.32000000,1.00000
SMCI,2025-08-22,42.0000,put,sell,2025-08-11T15:48:54.821136Z,credit,1.00000,limit,short_put,,0.73000000,1.00000
SMCI,2025-08-15,43.0000,put,buy,2025-08-07T15:57:31.662335Z,debit,1.00000,limit,,short_put,0.44000000,1.00000
SOFI,2025-08-15,20.5000,put,buy,2025-08-07T15:57:17.482761Z,debit,1.00000,limit,,short_put,0.20000000,1.00000
SOFI,2025-08-15,20.5000,put,sell,2025-08-06T18:51:41.123250Z,credit,1.00000,limit,short_put,,0.36000000,1.00000
SMCI,2025-08-15,43.0000,put,sell,2025-08-06T16:16:57.988317Z,credit,1.00000,limit,short_put,,1.19000000,1.00000
NBIS,2025-08-08,48.0000,put,buy,2025-08-04T14:55:46.764741Z,debit,1.00000,limit,,short_put,0.75000000,1.00000
NBIS,2025-08-08,48.0000,put,sell,2025-08-01T15:28:34.306934Z,credit,1.00000,limit,short_put,,1.30000000,1.00000
MRNA,2025-08-15,28.0000,put,sell,2025-07-31T16:32:34.182124Z,credit,1.00000,limit,short_put,,0.77000000,1.00000
NBIS,2025-08-01,49.5000,put,buy,2025-07-31T15:53:02.951017Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
RGTI,2025-08-01,15.0000,put,buy,2025-07-31T15:01:28.464601Z,debit,1.00000,limit,,short_put,0.16000000,1.00000
RGTI,2025-08-01,14.5000,put,buy,2025-07-31T15:00:59.815252Z,debit,1.00000,limit,,short_put,0.08000000,1.00000
NBIS,2025-08-01,49.5000,put,sell,2025-07-30T18:33:17.053172Z,credit,1.00000,limit,short_put,,0.45000000,1.00000
AAPL,2025-08-01,220.0000,call,sell,2025-07-30T18:32:20.119168Z,debit,1.00000,limit,,short_call_spread,0.57000000,1.00000
AAPL,2025-08-01,217.5000,call,buy,2025-07-30T18:32:20.119168Z,debit,1.00000,limit,,short_call_spread,0.57000000,1.00000
NBIS,2025-08-01,48.5000,put,buy,2025-07-28T17:44:02.944710Z,debit,1.00000,limit,,short_put,0.45000000,1.00000
NBIS,2025-08-01,48.5000,put,sell,2025-07-24T16:40:44.992572Z,credit,1.00000,limit,short_put,,1.00000000,1.00000
SMCI,2025-08-01,47.5000,put,buy,2025-07-24T16:36:21.343507Z,debit,1.00000,limit,,short_put,0.35000000,1.00000
SMCI,2025-08-01,47.5000,put,sell,2025-07-22T19:38:16.241871Z,credit,1.00000,limit,short_put,,0.98000000,1.00000
MRNA,2025-07-25,30.5000,put,buy,2025-07-22T19:37:11.926117Z,debit,1.00000,limit,,short_put,0.14000000,1.00000
RGTI,2025-08-01,15.0000,put,sell,2025-07-21T15:00:47.937783Z,credit,1.00000,limit,short_put,,0.36000000,1.00000
RGTI,2025-08-01,14.5000,put,sell,2025-07-21T15:00:26.966545Z,credit,1.00000,limit,short_put,,0.24000000,1.00000
NBIS,2025-08-01,50.0000,put,buy,2025-07-21T14:07:37.656562Z,debit,1.00000,limit,,short_put,0.90000000,1.00000
MRNA,2025-07-25,30.5000,put,sell,2025-07-18T15:26:35.405372Z,credit,1.00000,limit,short_put,,0.33000000,1.00000
NBIS,2025-08-01,50.0000,put,sell,2025-07-18T15:10:02.923339Z,credit,1.00000,limit,short_put,,2.10000000,1.00000
AAPL,2025-08-01,217.5000,call,sell,2025-07-18T15:08:06.964680Z,credit,1.00000,limit,short_call_spread,,0.74000000,1.00000
AAPL,2025-08-01,220.0000,call,buy,2025-07-18T15:08:06.964680Z,credit,1.00000,limit,short_call_spread,,0.74000000,1.00000
SOFI,2025-07-25,20.0000,put,buy,2025-07-17T19:47:16.252401Z,debit,2.00000,limit,,short_put,0.11000000,2.00000
NBIS,2025-07-25,48.0000,put,buy,2025-07-17T18:43:19.034033Z,debit,1.00000,limit,,short_put,0.50000000,1.00000
NBIS,2025-07-25,48.0000,put,sell,2025-07-16T15:49:11.467139Z,credit,1.00000,limit,short_put,,1.25000000,1.00000
SMCI,2025-07-25,46.0000,put,buy,2025-07-15T15:28:35.793804Z,debit,1.00000,limit,,short_put,0.31000000,1.00000
SOFI,2025-07-25,20.0000,put,sell,2025-07-14T18:23:02.794994Z,credit,2.00000,limit,short_put,,0.29000000,2.00000
NBIS,2025-07-25,42.5000,put,buy,2025-07-14T13:36:02.865203Z,debit,1.00000,limit,,short_put,0.40000000,1.00000
SMCI,2025-07-25,46.0000,put,sell,2025-07-11T14:00:10.329965Z,credit,1.00000,limit,short_put,,0.89000000,1.00000
NBIS,2025-07-25,42.5000,put,sell,2025-07-11T13:52:19.500507Z,credit,1.00000,limit,short_put,,1.05000000,1.00000
SMCI,2025-07-18,46.0000,put,buy,2025-07-10T17:56:22.375635Z,debit,1.00000,limit,,short_put,0.35000000,1.00000
HOOD,2025-07-18,87.0000,put,sell,2025-07-10T17:15:01.476496Z,debit,1.00000,limit,,short_put_spread,0.13000000,1.00000
HOOD,2025-07-18,88.0000,put,buy,2025-07-10T17:15:01.476496Z,debit,1.00000,limit,,short_put_spread,0.13000000,1.00000
AAL,2025-07-18,11.0000,put,buy,2025-07-10T17:14:30.932806Z,debit,1.00000,limit,,short_put,0.05000000,1.00000
SMCI,2025-07-18,46.0000,put,sell,2025-07-09T15:51:30.742484Z,credit,1.00000,limit,short_put,,0.70000000,1.00000
SOFI,2025-07-18,17.5000,put,buy,2025-07-09T15:34:21.789423Z,debit,1.00000,limit,,short_put,0.08000000,1.00000
MRNA,2025-07-18,29.0000,put,buy,2025-07-09T15:33:49.809976Z,debit,1.00000,limit,,short_put,0.19000000,1.00000
INTC,2025-07-18,21.5000,put,buy,2025-07-09T15:33:16.762095Z,debit,1.00000,limit,,short_put,0.11000000,1.00000
INTC,2025-07-18,21.5000,put,sell,2025-07-03T16:12:23.782595Z,credit,1.00000,limit,short_put,,0.33000000,1.00000
SOFI,2025-07-18,17.5000,put,sell,2025-07-03T16:11:15.008722Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
MRNA,2025-07-18,29.0000,put,sell,2025-07-03T16:09:54.332431Z,credit,1.00000,limit,short_put,,0.60000000,1.00000
AAL,2025-07-18,11.0000,put,sell,2025-07-03T16:08:29.970834Z,credit,1.00000,limit,short_put,,0.20000000,1.00000
SMCI,2025-07-03,47.5000,put,buy,2025-07-03T16:01:32.990182Z,debit,1.00000,limit,,short_put,0.03000000,1.00000
HOOD,2025-07-18,88.0000,put,sell,2025-07-03T15:42:48.043006Z,credit,1.00000,limit,short_put_spread,,0.32000000,1.00000
HOOD,2025-07-18,87.0000,put,buy,2025-07-03T15:42:48.043006Z,credit,1.00000,limit,short_put_spread,,0.32000000,1.00000
GOOGL,2025-07-18,170.0000,put,buy,2025-07-02T17:12:48.434165Z,debit,1.00000,limit,,short_put_spread,0.34000000,1.00000
GOOGL,2025-07-18,167.5000,put,sell,2025-07-02T17:12:48.434165Z,debit,1.00000,limit,,short_put_spread,0.34000000,1.00000
RIVN,2025-07-03,13.0000,put,buy,2025-07-02T17:12:03.038442Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
TSLA,2025-07-03,302.5000,put,sell,2025-07-02T17:04:26.815283Z,debit,1.00000,limit,,short_put_spread,0.32000000,1.00000
TSLA,2025-07-03,305.0000,put,buy,2025-07-02T17:04:26.815283Z,debit,1.00000,limit,,short_put_spread,0.32000000,1.00000
AMD,2025-07-18,132.0000,put,buy,2025-07-02T16:21:34.235343Z,debit,1.00000,limit,,short_put_spread,0.42000000,1.00000
AMD,2025-07-18,130.0000,put,sell,2025-07-02T16:21:34.235343Z,debit,1.00000,limit,,short_put_spread,0.42000000,1.00000
RGTI,2025-07-03,12.0000,call,buy,2025-07-02T16:17:09.123730Z,debit,1.00000,limit,,short_call,0.32000000,1.00000
NVDA,2025-07-18,146.0000,put,sell,2025-07-02T16:12:22.315682Z,debit,1.00000,limit,,short_put_spread,0.32000000,1.00000
NVDA,2025-07-18,148.0000,put,buy,2025-07-02T16:12:22.315682Z,debit,1.00000,limit,,short_put_spread,0.32000000,1.00000
NVDA,2025-07-18,148.0000,put,sell,2025-07-01T18:47:02.149989Z,credit,1.00000,limit,short_put_spread,,0.43000000,1.00000
NVDA,2025-07-18,146.0000,put,buy,2025-07-01T18:47:02.149989Z,credit,1.00000,limit,short_put_spread,,0.43000000,1.00000
AMD,2025-07-18,132.0000,put,sell,2025-07-01T18:40:50.555005Z,credit,1.00000,limit,short_put_spread,,0.54000000,1.00000
AMD,2025-07-18,130.0000,put,buy,2025-07-01T18:40:50.555005Z,credit,1.00000,limit,short_put_spread,,0.54000000,1.00000
GOOGL,2025-07-18,170.0000,put,sell,2025-06-30T15:36:15.556906Z,credit,1.00000,limit,short_put_spread,,0.48000000,1.00000
GOOGL,2025-07-18,167.5000,put,buy,2025-06-30T15:36:15.556906Z,credit,1.00000,limit,short_put_spread,,0.48000000,1.00000
SMCI,2025-07-03,47.5000,put,sell,2025-06-30T15:31:36.721850Z,credit,1.00000,limit,short_put,,0.62000000,1.00000
TSLA,2025-07-03,302.5000,put,buy,2025-06-27T19:33:06.444307Z,credit,1.00000,limit,short_put_spread,,0.50000000,1.00000
TSLA,2025-07-03,305.0000,put,sell,2025-06-27T19:33:06.444307Z,credit,1.00000,limit,short_put_spread,,0.50000000,1.00000
RGTI,2025-06-27,12.0000,call,buy,2025-06-27T13:36:44.166129Z,credit,1.00000,limit,short_call,short_call,0.16000000,1.00000
RGTI,2025-07-03,12.0000,call,sell,2025-06-27T13:36:44.166129Z,credit,1.00000,limit,short_call,short_call,0.16000000,1.00000
MRNA,2025-07-03,25.0000,put,buy,2025-06-26T16:32:30.641854Z,debit,1.00000,limit,,short_put,0.06000000,1.00000
GOOGL,2025-07-18,160.0000,put,sell,2025-06-26T16:27:05.206896Z,debit,1.00000,limit,,short_put_spread,0.76000000,1.00000
GOOGL,2025-07-18,165.0000,put,buy,2025-06-26T16:27:05.206896Z,debit,1.00000,limit,,short_put_spread,0.76000000,1.00000
RIVN,2025-07-03,13.0000,put,sell,2025-06-25T15:49:08.527755Z,credit,1.00000,limit,short_put,,0.19000000,1.00000
MRNA,2025-07-03,25.0000,put,sell,2025-06-25T15:47:01.495426Z,credit,1.00000,limit,short_put,,0.28000000,1.00000
SMCI,2025-06-27,41.5000,put,buy,2025-06-25T14:02:37.271175Z,debit,1.00000,limit,,short_put,0.11000000,1.00000
RGTI,2025-06-27,12.0000,call,sell,2025-06-24T14:25:04.281502Z,credit,1.00000,limit,short_call,,0.18000000,1.00000
MRNA,2025-06-27,24.0000,put,buy,2025-06-24T14:24:17.627578Z,debit,1.00000,limit,,short_put,0.04000000,1.00000
SMCI,2025-06-27,41.5000,put,sell,2025-06-23T14:17:16.812881Z,credit,1.00000,limit,short_put,,0.70000000,1.00000
SPY,2025-06-20,588.0000,put,sell,2025-06-20T18:34:58.437079Z,debit,1.00000,limit,,short_put_spread,0.03000000,1.00000
SPY,2025-06-20,590.0000,put,buy,2025-06-20T18:34:58.437079Z,debit,1.00000,limit,,short_put_spread,0.03000000,1.00000
GOOGL,2025-07-18,160.0000,put,buy,2025-06-20T16:35:36.393401Z,credit,1.00000,limit,short_put_spread,,1.27000000,1.00000
GOOGL,2025-07-18,165.0000,put,sell,2025-06-20T16:35:36.393401Z,credit,1.00000,limit,short_put_spread,,1.27000000,1.00000
MP,2025-06-27,35.0000,put,buy,2025-06-20T14:37:16.926265Z,debit,1.00000,limit,,short_put,0.80000000,1.00000
MP,2025-06-27,35.0000,put,sell,2025-06-20T14:21:52.515184Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
MRNA,2025-06-27,24.0000,put,sell,2025-06-18T17:14:35.766293Z,credit,1.00000,limit,short_put,,0.34000000,1.00000
SMCI,2025-06-20,41.5000,put,buy,2025-06-18T17:13:27.476253Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
RGTI,2025-06-20,12.5000,call,buy,2025-06-18T17:12:51.192023Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
LUNR,2025-06-20,10.0000,put,sell,2025-06-18T13:58:07.393963Z,credit,1.00000,limit,short_put,,0.12000000,1.00000
